"",0.0
"Acai Bowls, American (New), Breakfast & Brunch",3.75
"Acai Bowls, Brazilian",5.0
"Acai Bowls, Breakfast & Brunch",4.82474226804124
"Acai Bowls, Breakfast & Brunch, Cafes",4.37864077669903
"Acai Bowls, Breakfast & Brunch, Juice Bars & Smoothies",4.34210526315789
"Acai Bowls, Coffee & Tea, Breakfast & Brunch",3.86666666666667
"Acai Bowls, Juice Bars & Smoothies, Salad",4.26666666666667
"Acai Bowls, Juice Bars & Smoothies, Sandwiches",4.47374847374848
"Acai Bowls, Juice Bars & Smoothies, Soup",4.45
"Acai Bowls, Juice Bars & Smoothies, Vegan",4.33569182389937
"Acai Bowls, Salad, Juice Bars & Smoothies",4.20833333333333
"Acai Bowls, Vegan, Food Stands",4.25
"Acai Bowls, Vegan, Juice Bars & Smoothies",4.13636363636363
"Acai Bowls, Vegan, Vegetarian",4.65138592750533
Afghan,3.99311970845588
"Afghan, Bangladeshi, Indian",4.0
"Afghan, Bars",3.94425087108014
"Afghan, Breakfast & Brunch, Turkish",4.25
"Afghan, Cocktail Bars, Halal",4.31352459016393
"Afghan, Desserts, Ice Cream & Frozen Yogurt",4.4256
"Afghan, Desserts, Salad",4.625
"Afghan, Grocery, Butcher",4.71428571428571
"Afghan, Halal",4.24618067313304
"Afghan, Halal, Kebab",3.92567448421795
"Afghan, Halal, Middle Eastern",4.54545454545455
"Afghan, Kebab, Halal",4.47916666666667
"Afghan, Kebab, Seafood",5.0
"Afghan, Mediterranean, Halal",4.38163724014042
"Afghan, Mediterranean, Vegetarian",4.7816091954023
"Afghan, Middle Eastern",4.36637498116029
"Afghan, Middle Eastern, Greek",4.40119760479042
"Afghan, Middle Eastern, Halal",4.77516339869281
"Afghan, Middle Eastern, Mediterranean",4.25048923679061
"Afghan, Seafood, Cocktail Bars",4.05882352941176
African,3.66428241347806
"African, American (Traditional)",4.30909090909091
"African, American (Traditional), Mediterranean",4.1219512195122
"African, American (Traditional), Seafood",3.10526315789474
"African, Bars",2.5
"African, Bars, Caribbean",4.0
"African, Bars, Seafood",4.60098522167488
"African, Bars, Soup",3.73239436619718
"African, Breakfast & Brunch",4.0
"African, Buffets",4.33333333333333
"African, Caribbean",1.66666666666667
"African, Caterers, Fast Food",5.0
"African, Chicken Wings",4.48888888888889
"African, Comfort Food",4.375
"African, Cosmetics & Beauty Supply, Music & DVDs",4.5
"African, Eritrean, Ethiopian",4.66666666666667
"African, Food Trucks",4.26666666666667
"African, French",4.51063829787234
"African, Hookah Bars, Lounges",3.56521739130435
"African, International Grocery",4.53846153846154
"African, Italian",4.34615384615385
"African, Lounges",5.0
"African, Mediterranean, Halal",4.28761061946903
"African, Mediterranean, Somali",3.92156862745098
"African, Sandwiches, Desserts",5.0
"African, Seafood",4.71428571428571
"African, Seafood, Barbeque",3.54878048780488
"African, Somali",4.8
"African, Soul Food, Caribbean",3.52941176470588
"African, Soul Food, Soup",4.02654867256637
"African, Soup",3.81739130434783
"African, Soup, Chicken Wings",3.17460317460317
"African, Vegan, Vegetarian",4.328125
"African, Vegetarian, Vegan",3.97222222222222
"American (New)",3.63217559451189
"American (New), American (Traditional)",3.04979518765915
"American (New), American (Traditional), Barbeque",3.39285714285714
"American (New), American (Traditional), Bars",4.17679400242928
"American (New), American (Traditional), Breakfast & Brunch",4.04914939960996
"American (New), American (Traditional), Burgers",1.6
"American (New), American (Traditional), Cocktail Bars",3.94398429845322
"American (New), American (Traditional), Diners",4.02272727272727
"American (New), American (Traditional), Gluten-Free",4.12849162011173
"American (New), American (Traditional), Seafood",3.58015267175573
"American (New), American (Traditional), Southern",3.72727272727273
"American (New), Asian Fusion",4.23972749874543
"American (New), Asian Fusion, Cajun/Creole",4.44444444444444
"American (New), Asian Fusion, Cocktail Bars",4.64864864864865
"American (New), Asian Fusion, Food Stands",4.44808743169399
"American (New), Asian Fusion, Japanese",4.26506024096386
"American (New), Asian Fusion, Mexican",4.19480519480519
"American (New), Asian Fusion, Seafood",4.12692307692308
"American (New), Asian Fusion, Sushi Bars",3.75555555555556
"American (New), Asian Fusion, Tapas Bars",3.88524590163934
"American (New), Bakeries",3.61921296296297
"American (New), Bakeries, Breakfast & Brunch",3.47395833333333
"American (New), Bakeries, Coffee & Tea",4.42931135962331
"American (New), Barbeque",3.38289013772397
"American (New), Barbeque, Beer Bar",4.66139240506329
"American (New), Barbeque, Beer Gardens",3.20224719101124
"American (New), Barbeque, Breakfast & Brunch",3.7699836867863
"American (New), Barbeque, Burgers",4.17777777777778
"American (New), Barbeque, Delis",3.76595744680851
"American (New), Barbeque, Gluten-Free",4.41434599156118
"American (New), Barbeque, Guamanian",4.49101796407186
"American (New), Barbeque, Salad",3.3402489626556
"American (New), Barbeque, Sandwiches",3.95477386934673
"American (New), Barbeque, Tacos",4.27234927234927
"American (New), Barbeque, Venues & Event Spaces",2.91823899371069
"American (New), Bars",3.9375449773328
"American (New), Bars, American (Traditional)",4.10416869331672
"American (New), Bars, American (Traditional), Cocktail Bars",4.34177215189873
"American (New), Bars, Asian Fusion",3.52482269503546
"American (New), Bars, Beer Gardens",4.07317073170732
"American (New), Bars, Brasseries",4.02061855670103
"American (New), Bars, Breakfast & Brunch",3.90497780989234
"American (New), Bars, Burgers",3.91701506401788
"American (New), Bars, Desserts",3.92648427148278
"American (New), Bars, Food",4.09531772575251
"American (New), Bars, Gastropubs",3.67123650012843
"American (New), Bars, Italian",3.17661691542289
"American (New), Bars, Jazz & Blues",3.52197802197802
"American (New), Bars, Karaoke",3.54901960784314
"American (New), Bars, Korean",4.73333333333333
"American (New), Bars, Mediterranean",4.47692307692308
"American (New), Bars, Mexican",3.87837837837838
"American (New), Bars, Music Venues",4.00398260844895
"American (New), Bars, Paint & Sip",4.0
"American (New), Bars, Pizza",4.04711969808092
"American (New), Bars, Salad",3.6927374301676
"American (New), Bars, Sandwiches",3.92905405405405
"American (New), Bars, Seafood",3.89875362318841
"American (New), Bars, Southern",4.3750751968195
"American (New), Bars, Steakhouses",3.96360037732638
"American (New), Bars, Tacos",3.515625
"American (New), Bars, Tapas Bars",4.41176470588235
"American (New), Bars, Tapas/Small Plates",4.21772427036922
"American (New), Bars, Vegetarian",3.7263753183406
"American (New), Bars, Venues & Event Spaces",3.85665757701941
"American (New), Beer Bar",4.27619367192569
"American (New), Beer Bar, American (Traditional)",3.92462311557789
"American (New), Beer Bar, Cocktail Bars",3.98854961832061
"American (New), Beer Bar, Gastropubs",4.0
"American (New), Beer Bar, Sandwiches",4.70192307692308
"American (New), Beer Bar, Soul Food",4.09375
"American (New), Beer Bar, Sports Bars",4.05
"American (New), Beer Bar, Tabletop Games",4.32954545454545
"American (New), Beer Bar, Waffles",4.20245398773006
"American (New), Beer Bar, Wine Bars",4.282003776079
"American (New), Beer Gardens",4.01486010260816
"American (New), Beer, Wine & Spirits",3.91057001657228
"American (New), Beer, Wine & Spirits, American (Traditional)",3.55833333333333
"American (New), Beer, Wine & Spirits, Breakfast & Brunch",4.49435028248588
"American (New), Beer, Wine & Spirits, Cocktail Bars",3.9937106918239
"American (New), Beer, Wine & Spirits, Gastropubs",3.86363636363636
"American (New), Beer, Wine & Spirits, Pubs",3.82608695652174
"American (New), Beer, Wine & Spirits, Seafood",3.1
"American (New), Beer, Wine & Spirits, Steakhouses",3.90990990990991
"American (New), Belgian, Gastropubs",3.91030927835052
"American (New), Bookstores",4.27272727272727
"American (New), Bowling, Arcades",2.94131578947368
"American (New), Brasseries",4.15565893220496
"American (New), Brasseries, Tapas/Small Plates",3.88516170480137
"American (New), Breakfast & Brunch",3.95597403242735
"American (New), Breakfast & Brunch, American (Traditional)",4.139413678208
"American (New), Breakfast & Brunch, Asian Fusion",4.5
"American (New), Breakfast & Brunch, Barbeque",4.25
"American (New), Breakfast & Brunch, Bars",3.82690969563513
"American (New), Breakfast & Brunch, Beer Gardens",3.51445086705202
"American (New), Breakfast & Brunch, Beer, Wine & Spirits",3.71264367816092
"American (New), Breakfast & Brunch, Burgers",4.13501011816958
"American (New), Breakfast & Brunch, Cafes",3.96382763787936
"American (New), Breakfast & Brunch, Cajun/Creole",4.24933687002653
"American (New), Breakfast & Brunch, Cocktail Bars",4.04728732864219
"American (New), Breakfast & Brunch, Coffee & Tea",4.06764336895944
"American (New), Breakfast & Brunch, Comfort Food",4.29472140762463
"American (New), Breakfast & Brunch, Desserts",4.02332298158038
"American (New), Breakfast & Brunch, Diners",4.05774330102359
"American (New), Breakfast & Brunch, Dive Bars",4.46296296296296
"American (New), Breakfast & Brunch, Fast Food",4.2709801409353
"American (New), Breakfast & Brunch, Food Trucks",4.17948717948718
"American (New), Breakfast & Brunch, Gastropubs",4.04674133389308
"American (New), Breakfast & Brunch, German",4.1025641025641
"American (New), Breakfast & Brunch, Gluten-Free",4.14705882352941
"American (New), Breakfast & Brunch, Italian",4.19147118040923
"American (New), Breakfast & Brunch, Juice Bars & Smoothies",4.14714285714286
"American (New), Breakfast & Brunch, Lounges",3.80235294117647
"American (New), Breakfast & Brunch, Pizza",4.18276220145379
"American (New), Breakfast & Brunch, Pubs",3.95675675675676
"American (New), Breakfast & Brunch, Salad",3.65105683158397
"American (New), Breakfast & Brunch, Sandwiches",3.60879836296382
